productId,supplierId,supplierName,name,category,currentPrice,originalPrice,cost,suggestedPrice,suggestedMargin,stock,maxStock,minStockLevel,expirationDate,daysUntilExpiry,isPerishable,sku,status,lastUpdated,updatedAt,margin,priceChange,demand,clearanceRate,wasteReduction,mlScore,priceFactors.expirationUrgency,priceFactors.stockLevel,priceFactors.timeOfDay,priceFactors.demandForecast,priceFactors.competitorPrice,priceFactors.seasonality,priceFactors.marketTrend,optimization.wasteReduction,optimization.clearanceRate,optimization.revenueSaved,optimization.lastOptimization
adidas-005,adidas-supplier-001,Adidas AG,Adidas NMD_R1 V3,Lifestyle Shoes,12449.17,14110.0,7055.0,12865.0,45.0,35,100,12,,,False,ADIDAS-005,active,2025-07-07T11:09:39.703218+00:00,2025-07-07T11:09:39.703218+00:00,43.3,-11.8,78,65,93,88,0,50,40,78,12672.025,60,70,93,65,14554.05,2025-07-07T11:09:39.703218+00:00
adidas-006,adidas-supplier-001,Adidas AG,Adidas Terrex Swift R3 GTX,Outdoor Shoes,13279.17,14940.0,7885.0,13695.0,42.0,22,70,10,,,False,ADIDAS-006,active,2025-07-07T11:09:39.703234+00:00,2025-07-07T11:09:39.703234+00:00,40.6,-11.1,82,69,90,89,0,40,60,82,13489.574999999999,65,72,90,69,9148.26,2025-07-07T11:09:39.703234+00:00
puma-001,puma-supplier-001,Puma SE,Puma Velocity Nitro 3,Running Shoes,11619.17,13280.0,6225.0,12035.0,48.0,38,90,12,,,False,PUMA-001,active,2025-07-07T11:09:39.703253+00:00,2025-07-07T11:09:39.703253+00:00,46.4,-12.5,85,58,93,83,0,40,30,85,11854.475,60,75,93,58,15801.54,2025-07-07T11:09:39.703253+00:00
puma-002,puma-supplier-001,Puma SE,Puma RS-X Efekt,Lifestyle Shoes,9959.17,11620.0,5395.0,10375.0,48.0,45,100,15,,,False,PUMA-002,active,2025-07-07T11:09:39.703263+00:00,2025-07-07T11:09:39.703263+00:00,45.8,-14.3,78,55,86,83,0,50,40,78,10219.375,65,70,86,55,18712.35,2025-07-07T11:09:39.703263+00:00
puma-003,puma-supplier-001,Puma SE,Puma Future Ultimate FG/AG,Football Boots,19089.17,20750.0,10790.0,19505.0,45.0,20,50,8,,,False,PUMA-003,active,2025-07-07T11:09:39.703272+00:00,2025-07-07T11:09:39.703272+00:00,43.5,-8.0,90,60,89,80,0,20,60,90,19212.425,70,80,89,60,8316.6,2025-07-07T11:09:39.703272+00:00
puma-004,puma-supplier-001,Puma SE,Puma Unisex Aqua Slippers,Slippers,1655.17,2075.0,664.0,1743.0,62.0,100,200,30,,,False,PUMA-004,active,2025-07-07T11:09:39.703281+00:00,2025-07-07T11:09:39.703281+00:00,59.9,-20.2,60,50,95,74,0,70,20,60,1716.855,50,60,95,50,8783.0,2025-07-07T11:09:39.703281+00:00
puma-005,puma-supplier-001,Puma SE,Puma Softride Slide Sandals,Slippers,2489.17,2905.0,1162.0,2656.0,56.0,85,150,25,,,False,PUMA-005,active,2025-07-07T11:09:39.703292+00:00,2025-07-07T11:09:39.703292+00:00,53.3,-14.3,70,43,95,81,0,60,30,70,2616.16,65,68,95,43,14180.55,2025-07-07T11:09:39.703292+00:00
puma-006,puma-supplier-001,Puma SE,Puma Smash V2 Leather,Lifestyle Shoes,5809.17,7055.0,2905.0,5976.0,51.0,55,120,18,,,False,PUMA-006,active,2025-07-07T11:09:39.703301+00:00,2025-07-07T11:09:39.703301+00:00,50.0,-17.7,75,54,93,95,0,50,40,75,5886.36,60,65,93,54,9175.65,2025-07-07T11:09:39.703301+00:00
campus-001,campus-supplier-001,Campus Activewear Ltd.,Campus OXYFIT Running Shoes,Running Shoes,1299.0,1499.0,650.0,1350.0,52.0,60,150,20,,,False,CAMPUS-001,active,2025-07-07T11:09:39.703312+00:00,2025-07-07T11:09:39.703312+00:00,50.0,-13.3,78,60,92,76,0,50,30,78,1329.75,60,70,92,60,3060.0,2025-07-07T11:09:39.703312+00:00
campus-002,campus-supplier-001,Campus Activewear Ltd.,Campus CAMP-FIT Plus Walking Shoes,Walking Shoes,1199.0,1399.0,620.0,1250.0,50.0,48,120,15,,,False,CAMPUS-002,active,2025-07-07T11:09:39.703420+00:00,2025-07-07T11:09:39.703420+00:00,48.3,-14.3,75,60,91,75,0,40,40,75,1231.25,65,68,91,60,2448.0,2025-07-07T11:09:39.703420+00:00
campus-003,campus-supplier-001,Campus Activewear Ltd.,Campus Rodeo Casual Shoes,Casual Shoes,1099.0,1299.0,580.0,1150.0,50.0,35,100,12,,,False,CAMPUS-003,active,2025-07-07T11:09:39.703432+00:00,2025-07-07T11:09:39.703432+00:00,47.2,-15.4,80,65,90,73,0,30,50,80,1132.75,60,72,90,65,1785.0,2025-07-07T11:09:39.703432+00:00
campus-004,campus-supplier-001,Campus Activewear Ltd.,Campus ALEX Flip-Flops,Slippers,349.0,399.0,180.0,360.0,50.0,120,250,30,,,False,CAMPUS-004,active,2025-07-07T11:09:39.703441+00:00,2025-07-07T11:09:39.703441+00:00,48.4,-12.5,65,52,91,75,0,70,20,65,354.6,55,60,91,52,1320.0,2025-07-07T11:09:39.703441+00:00
campus-005,campus-supplier-001,Campus Activewear Ltd.,Campus NITRO Slides,Slippers,499.0,549.0,260.0,520.0,50.0,100,200,25,,,False,CAMPUS-005,active,2025-07-07T11:09:39.703450+00:00,2025-07-07T11:09:39.703450+00:00,47.9,-9.1,70,50,93,77,0,60,30,70,512.2,60,65,93,50,2100.0,2025-07-07T11:09:39.703450+00:00
campus-006,campus-supplier-001,Campus Activewear Ltd.,Campus MIKE Pro Sandals,Sandals,799.0,899.0,420.0,820.0,49.0,75,180,20,,,False,CAMPUS-006,active,2025-07-07T11:09:39.703467+00:00,2025-07-07T11:09:39.703467+00:00,47.4,-11.1,72,58,88,72,0,50,30,72,807.7,65,66,88,58,1575.0,2025-07-07T11:09:39.703467+00:00
bata-001,bata-supplier-001,Bata India Ltd.,Bata Comfit Men’s Formal Shoes,Formal Shoes,1799.0,1999.0,950.0,1850.0,49.0,42,100,15,,,False,BATA-001,active,2025-07-07T11:09:39.703477+00:00,2025-07-07T11:09:39.703477+00:00,47.2,-10.0,80,58,95,78,0,50,40,80,1822.25,55,72,95,58,2142.0,2025-07-07T11:09:39.703477+00:00
bata-002,bata-supplier-001,Bata India Ltd.,Bata Power Running Shoes,Sports Shoes,1599.0,1799.0,880.0,1650.0,47.0,38,90,10,,,False,BATA-002,active,2025-07-07T11:09:39.703486+00:00,2025-07-07T11:09:39.703486+00:00,45.0,-11.1,78,58,87,91,0,40,30,78,1625.25,60,70,87,58,1938.0,2025-07-07T11:09:39.703486+00:00
bata-003,bata-supplier-001,Bata India Ltd.,Bata Hawaii Slippers,Slippers,169.0,199.0,85.0,175.0,51.0,150,300,25,,,False,BATA-003,active,2025-07-07T11:09:39.703495+00:00,2025-07-07T11:09:39.703495+00:00,49.7,-15.1,65,50,90,81,0,70,20,65,172.375,50,60,90,50,900.0,2025-07-07T11:09:39.703495+00:00
bata-004,bata-supplier-001,Bata India Ltd.,Bata Ladies Fashion Sandals,Sandals,899.0,1099.0,450.0,940.0,52.0,58,120,18,,,False,BATA-004,active,2025-07-07T11:09:39.703505+00:00,2025-07-07T11:09:39.703505+00:00,49.9,-18.2,70,52,90,73,0,50,30,70,925.9,65,68,90,52,2378.0,2025-07-07T11:09:39.703505+00:00
bata-005,bata-supplier-001,Bata India Ltd.,Bata Toughees School Shoes,School Shoes,699.0,799.0,350.0,720.0,51.0,80,160,20,,,False,BATA-005,active,2025-07-07T11:09:39.703514+00:00,2025-07-07T11:09:39.703514+00:00,49.9,-12.5,75,50,85,79,0,60,40,75,709.2,70,65,85,50,1680.0,2025-07-07T11:09:39.703514+00:00
bata-006,bata-supplier-001,Bata India Ltd.,Bata Men’s Slip-On Sandals,Sandals,749.0,899.0,390.0,780.0,50.0,67,140,20,,,False,BATA-006,active,2025-07-07T11:09:39.703523+00:00,2025-07-07T11:09:39.703523+00:00,47.9,-16.7,70,52,92,79,0,50,40,70,768.3,60,66,92,52,2077.0,2025-07-07T11:09:39.703523+00:00
bat-ss-001,ss-supplier-001,SS Ton Sports Co.,SS Ton Elite Kashmir Willow Cricket Bat,Cricket Bat,2599.0,2999.0,1350.0,2650.0,49.0,35,80,10,,,False,BAT-SS-001,active,2025-07-07T11:09:39.703532+00:00,2025-07-07T11:09:39.703532+00:00,48.1,-13.3,85,56,90,87,0,40,30,85,2610.25,70,75,90,56,1785.0,2025-07-07T11:09:39.703532+00:00
bat-sg-001,sg-supplier-001,SG Cricket India,SG RSD Spark English Willow Bat,Cricket Bat,3499.0,3999.0,1850.0,3600.0,48.0,28,60,10,,,False,BAT-SG-001,active,2025-07-07T11:09:39.703543+00:00,2025-07-07T11:09:39.703543+00:00,47.1,-12.5,82,53,93,92,0,30,40,82,3546.0,70,78,93,53,2828.0,2025-07-07T11:09:39.703543+00:00
bat-gm-001,gm-supplier-001,Gunn & Moore UK,GM Icon 606 English Willow Bat,Cricket Bat,4799.0,5299.0,2500.0,4900.0,49.0,22,50,8,,,False,BAT-GM-001,active,2025-07-07T11:09:39.703553+00:00,2025-07-07T11:09:39.703553+00:00,47.9,-9.4,88,56,86,91,0,30,50,88,4826.5,75,80,86,56,2222.0,2025-07-07T11:09:39.703553+00:00
bat-mrf-001,mrf-supplier-001,MRF Sports Gear,MRF Genius Grand Edition,Cricket Bat,6499.0,6999.0,3300.0,6600.0,50.0,18,40,5,,,False,BAT-MRF-001,active,2025-07-07T11:09:39.703562+00:00,2025-07-07T11:09:39.703562+00:00,49.2,-7.1,90,55,93,85,0,20,40,90,6501.0,80,85,93,55,1818.0,2025-07-07T11:09:39.703562+00:00
bat-spartan-001,spartan-supplier-001,Spartan Sports India,Spartan MSD Edition Kashmir Willow,Cricket Bat,2899.0,3299.0,1500.0,2950.0,49.0,25,70,10,,,False,BAT-SPARTAN-001,active,2025-07-07T11:09:39.703571+00:00,2025-07-07T11:09:39.703571+00:00,48.3,-12.1,78,64,88,79,0,40,30,78,2905.75,65,70,88,64,1275.0,2025-07-07T11:09:39.703571+00:00
bat-ceat-001,ceat-supplier-001,CEAT Sports,CEAT Hitman Rohit Edition,Cricket Bat,3899.0,4299.0,2000.0,3950.0,49.0,30,60,8,,,False,BAT-CEAT-001,active,2025-07-07T11:09:39.703580+00:00,2025-07-07T11:09:39.703580+00:00,48.7,-9.3,81,50,93,77,0,30,40,81,3890.75,70,74,93,50,1530.0,2025-07-07T11:09:39.703580+00:00
football-nike-001,nike-supplier-001,Nike India Pvt. Ltd.,Nike Flight Football Size 5,Football,2599.0,2999.0,1350.0,2650.0,49.0,30,80,10,,,False,FOOTBALL-NIKE-001,active,2025-07-07T11:09:39.703592+00:00,2025-07-07T11:09:39.703592+00:00,48.1,-13.3,85,62,88,75,0,50,40,85,2610.25,60,70,88,62,1530.0,2025-07-07T11:09:39.703592+00:00
football-adidas-001,adidas-supplier-001,Adidas India,Adidas Tango Glider Football,Football,1499.0,1799.0,850.0,1550.0,45.0,45,100,15,,,False,FOOTBALL-ADIDAS-001,active,2025-07-07T11:09:39.703608+00:00,2025-07-07T11:09:39.703608+00:00,43.3,-16.7,80,55,92,80,0,40,30,80,1526.75,70,68,92,55,2295.0,2025-07-07T11:09:39.703608+00:00
football-nivia-001,nivia-supplier-001,Nivia Sports,Nivia Storm Football,Football,599.0,749.0,290.0,620.0,53.0,60,150,20,,,False,FOOTBALL-NIVIA-001,active,2025-07-07T11:09:39.703617+00:00,2025-07-07T11:09:39.703617+00:00,51.6,-20.0,78,60,92,71,0,60,40,78,610.7,60,70,92,60,1260.0,2025-07-07T11:09:39.703617+00:00
football-puma-001,puma-supplier-001,Puma Sports India,Puma Orbita La Liga Football,Football,1899.0,2199.0,1000.0,1950.0,49.0,35,90,12,,,False,FOOTBALL-PUMA-001,active,2025-07-07T11:09:39.703630+00:00,2025-07-07T11:09:39.703630+00:00,47.3,-13.6,75,61,93,74,0,40,40,75,1920.75,65,70,93,61,1785.0,2025-07-07T11:09:39.703630+00:00
football-vectorx-001,vectorx-supplier-001,Vector X,Vector X Strike Football,Football,699.0,899.0,350.0,730.0,52.0,70,140,18,,,False,FOOTBALL-VECTORX-001,active,2025-07-07T11:09:39.703645+00:00,2025-07-07T11:09:39.703645+00:00,49.9,-22.2,70,50,87,78,0,50,30,70,719.05,60,65,87,50,2170.0,2025-07-07T11:09:39.703645+00:00
football-cosco-001,cosco-supplier-001,Cosco India Ltd.,Cosco Milano Football,Football,799.0,999.0,400.0,820.0,51.0,55,120,15,,,False,FOOTBALL-COSCO-001,active,2025-07-07T11:09:39.703661+00:00,2025-07-07T11:09:39.703661+00:00,49.9,-20.0,72,54,92,92,0,50,40,72,807.7,70,70,92,54,1155.0,2025-07-07T11:09:39.703661+00:00
tennis-wilson-001,wilson-supplier-001,Wilson Sporting Goods,Wilson US Open Extra Duty Tennis Balls (Pack of 3),Tennis Ball,349.0,399.0,180.0,360.0,50.0,50,120,20,,,False,TENNIS-WILSON-001,active,2025-07-07T11:09:39.703676+00:00,2025-07-07T11:09:39.703676+00:00,48.4,-12.5,80,58,93,86,0,50,30,80,354.6,60,70,93,58,550.0,2025-07-07T11:09:39.703676+00:00
tennis-head-001,head-supplier-001,Head Sports,Head Championship Tennis Balls (3 Balls),Tennis Ball,299.0,349.0,160.0,310.0,48.0,60,150,15,,,False,TENNIS-HEAD-001,active,2025-07-07T11:09:39.703693+00:00,2025-07-07T11:09:39.703693+00:00,46.5,-14.3,76,60,95,94,0,60,20,76,305.35,55,68,95,60,660.0,2025-07-07T11:09:39.703693+00:00
tennis-nivia-001,nivia-supplier-001,Nivia Sports,Nivia Tennis Balls Pack (Set of 3),Tennis Ball,179.0,229.0,90.0,185.0,51.0,75,180,25,,,False,TENNIS-NIVIA-001,active,2025-07-07T11:09:39.703711+00:00,2025-07-07T11:09:39.703711+00:00,49.7,-21.8,70,58,87,83,0,70,30,70,182.225,60,66,87,58,450.0,2025-07-07T11:09:39.703711+00:00
tennis-slazenger-001,slazenger-supplier-001,Slazenger,Slazenger Wimbledon Tennis Balls (Pack of 4),Tennis Ball,499.0,549.0,260.0,510.0,49.0,30,90,10,,,False,TENNIS-SLAZENGER-001,active,2025-07-07T11:09:39.703727+00:00,2025-07-07T11:09:39.703727+00:00,47.9,-9.1,80,67,92,92,0,40,40,80,502.34999999999997,70,75,92,67,330.0,2025-07-07T11:09:39.703727+00:00
tennis-artengo-001,artengo-supplier-001,Artengo by Decathlon,Artengo TB530 Tennis Balls (Pack of 3),Tennis Ball,249.0,299.0,120.0,260.0,54.0,85,160,20,,,False,TENNIS-ARTENGO-001,active,2025-07-07T11:09:39.703743+00:00,2025-07-07T11:09:39.703743+00:00,51.8,-16.7,74,47,92,84,0,60,40,74,256.1,60,70,92,47,935.0,2025-07-07T11:09:39.703743+00:00
tennis-dunlop-001,dunlop-supplier-001,Dunlop Sports,Dunlop ATP Tennis Balls (3 Pack),Tennis Ball,399.0,449.0,200.0,410.0,51.0,40,100,15,,,False,TENNIS-DUNLOP-001,active,2025-07-07T11:09:39.703759+00:00,2025-07-07T11:09:39.703759+00:00,49.9,-11.1,77,60,92,79,0,40,40,77,403.85,65,70,92,60,440.0,2025-07-07T11:09:39.703759+00:00
chess-supreme-001,supremechess-supplier-001,Supreme Chess Crafts,Supreme Wooden Chess Board with Staunton Pieces,Chess Board,799.0,999.0,420.0,820.0,49.0,35,100,15,,,False,CHESS-SUPREME-001,active,2025-07-07T11:09:39.703776+00:00,2025-07-07T11:09:39.703776+00:00,47.4,-20.0,78,65,88,90,0,50,30,78,807.7,70,72,88,65,735.0,2025-07-07T11:09:39.703776+00:00
chess-bhagat-001,bhagat-supplier-001,Bhagat Toys & Games,Bhagat Magnetic Travel Chess Set,Chess Board,399.0,499.0,200.0,410.0,51.0,70,150,20,,,False,CHESS-BHAGAT-001,active,2025-07-07T11:09:39.703791+00:00,2025-07-07T11:09:39.703791+00:00,49.9,-20.0,70,53,90,85,0,60,40,70,403.85,60,68,90,53,770.0,2025-07-07T11:09:39.703791+00:00
chess-stonex-001,stonex-supplier-001,Stonex Handicrafts,Stonex Marble Chess Board & Stone Pieces,Chess Board,1999.0,2299.0,1000.0,2050.0,51.0,20,50,10,,,False,CHESS-STONEX-001,active,2025-07-07T11:09:39.703803+00:00,2025-07-07T11:09:39.703803+00:00,50.0,-13.0,80,60,91,95,0,30,50,80,2019.25,75,78,91,60,1020.0,2025-07-07T11:09:39.703803+00:00
chess-funskool-001,funskool-supplier-001,Funskool India Ltd.,Funskool Classic Chess Game Set,Chess Board,349.0,449.0,180.0,360.0,50.0,60,120,15,,,False,CHESS-FUNSKOOL-001,active,2025-07-07T11:09:39.703813+00:00,2025-07-07T11:09:39.703813+00:00,48.4,-22.3,75,50,95,76,0,60,40,75,354.6,70,68,95,50,660.0,2025-07-07T11:09:39.703813+00:00
chess-kipa-001,kipa-supplier-001,Kipa Gaming,Kipa Wooden Folding Chess Board Set,Chess Board,699.0,849.0,350.0,720.0,51.0,40,90,12,,,False,CHESS-KIPA-001,active,2025-07-07T11:09:39.703823+00:00,2025-07-07T11:09:39.703823+00:00,49.9,-17.7,76,56,87,74,0,50,40,76,709.2,70,70,87,56,840.0,2025-07-07T11:09:39.703823+00:00
chess-toypoint-001,toypoint-supplier-001,ToyPoint Games,ToyPoint Chess Set with Plastic Pieces,Chess Board,249.0,299.0,120.0,260.0,54.0,85,150,20,,,False,CHESS-TOYPOINT-001,active,2025-07-07T11:09:39.703837+00:00,2025-07-07T11:09:39.703837+00:00,51.8,-16.7,70,43,86,78,0,60,40,70,256.1,60,66,86,43,935.0,2025-07-07T11:09:39.703837+00:00
ludo-funskool-001,funskool-supplier-001,Funskool India Ltd.,Funskool Ludo Classic Edition,Ludo,249.0,299.0,120.0,260.0,54.0,75,150,20,,,False,LUDO-FUNSKOOL-001,active,2025-07-07T11:09:39.703846+00:00,2025-07-07T11:09:39.703846+00:00,51.8,-16.7,70,50,94,72,0,60,30,70,256.1,60,65,94,50,825.0,2025-07-07T11:09:39.703846+00:00
ludo-toyshine-001,toyshine-supplier-001,Toyshine India,Toyshine Magnetic Ludo & Snakes Board,Ludo,329.0,399.0,180.0,340.0,47.0,55,120,15,,,False,LUDO-TOYSHINE-001,active,2025-07-07T11:09:39.703858+00:00,2025-07-07T11:09:39.703858+00:00,45.3,-17.5,72,54,90,74,0,50,30,72,334.9,60,68,90,54,605.0,2025-07-07T11:09:39.703858+00:00
ludo-zephyr-001,zephyr-supplier-001,Zephyr Toymakers,Zephyr Ludo & Business Combo Game,Ludo,449.0,499.0,220.0,460.0,52.0,40,100,12,,,False,LUDO-ZEPHYR-001,active,2025-07-07T11:09:39.703867+00:00,2025-07-07T11:09:39.703867+00:00,51.0,-10.0,75,60,94,84,0,40,40,75,453.09999999999997,65,70,94,60,440.0,2025-07-07T11:09:39.703867+00:00
ludo-ratnas-001,ratnas-supplier-001,Ratna’s Games,Ratna’s Ludo with Dice & Coins,Ludo,179.0,229.0,90.0,185.0,51.0,85,160,25,,,False,LUDO-RATNAS-001,active,2025-07-07T11:09:39.703876+00:00,2025-07-07T11:09:39.703876+00:00,49.7,-21.8,70,47,93,92,0,70,40,70,182.225,60,60,93,47,510.0,2025-07-07T11:09:39.703876+00:00
ludo-playmate-001,playmate-supplier-001,Playmate Games Co.,Playmate Jumbo Ludo Board,Ludo,299.0,349.0,150.0,310.0,51.0,65,130,18,,,False,LUDO-PLAYMATE-001,active,2025-07-07T11:09:39.703885+00:00,2025-07-07T11:09:39.703885+00:00,49.8,-14.3,74,50,94,83,0,60,30,74,305.35,65,68,94,50,715.0,2025-07-07T11:09:39.703885+00:00
ludo-ravensburger-001,ravensburger-supplier-001,Ravensburger India,Ravensburger Wooden Classic Ludo,Ludo,799.0,899.0,400.0,810.0,51.0,20,50,10,,,False,LUDO-RAVENSBURGER-001,active,2025-07-07T11:09:39.703895+00:00,2025-07-07T11:09:39.703895+00:00,49.9,-11.1,78,60,87,83,0,30,40,78,797.85,70,72,87,60,220.0,2025-07-07T11:09:39.703895+00:00
basketball-nivia-001,nivia-supplier-001,Nivia Sports,Nivia Engraver Basketball (Size 7),Basketball,749.0,899.0,370.0,760.0,51.0,50,120,18,,,False,BASKETBALL-NIVIA-001,active,2025-07-07T11:09:39.703903+00:00,2025-07-07T11:09:39.703903+00:00,50.6,-16.7,82,58,94,88,0,50,40,82,748.6,70,75,94,58,550.0,2025-07-07T11:09:39.703903+00:00
basketball-spalding-001,spalding-supplier-001,Spalding Sports India,Spalding NBA Grip Control Basketball,Basketball,1299.0,1499.0,680.0,1320.0,48.0,30,80,12,,,False,BASKETBALL-SPALDING-001,active,2025-07-07T11:09:39.703912+00:00,2025-07-07T11:09:39.703912+00:00,47.7,-13.3,84,62,93,77,0,30,40,84,1300.2,75,78,93,62,630.0,2025-07-07T11:09:39.703912+00:00
basketball-cosco-001,cosco-supplier-001,Cosco India Ltd.,Cosco Hi-Grip Rubber Basketball (Size 7),Basketball,599.0,749.0,300.0,620.0,51.0,65,140,20,,,False,BASKETBALL-COSCO-001,active,2025-07-07T11:09:39.703921+00:00,2025-07-07T11:09:39.703921+00:00,49.9,-20.0,76,54,86,75,0,60,30,76,610.7,65,70,86,54,1365.0,2025-07-07T11:09:39.703921+00:00
basketball-wilson-001,wilson-supplier-001,Wilson Sporting Goods,Wilson NCAA Replica Game Ball,Basketball,1399.0,1599.0,720.0,1420.0,49.0,25,60,10,,,False,BASKETBALL-WILSON-001,active,2025-07-07T11:09:39.703929+00:00,2025-07-07T11:09:39.703929+00:00,48.5,-12.5,80,58,94,78,0,40,50,80,1398.7,75,76,94,58,525.0,2025-07-07T11:09:39.703929+00:00
basketball-puma-001,puma-supplier-001,Puma Sports India,Puma Playground Basketball,Basketball,899.0,1049.0,450.0,910.0,51.0,40,90,12,,,False,BASKETBALL-PUMA-001,active,2025-07-07T11:09:39.703939+00:00,2025-07-07T11:09:39.703939+00:00,49.9,-14.3,78,56,86,71,0,50,30,78,896.35,70,72,86,56,440.0,2025-07-07T11:09:39.703939+00:00
basketball-decathlon-001,tarmak-supplier-001,Decathlon Tarmak,Tarmak BT100 Basketball (Size 5),Basketball,499.0,599.0,240.0,510.0,53.0,70,150,18,,,False,BASKETBALL-DECATHLON-001,active,2025-07-07T11:09:39.703948+00:00,2025-07-07T11:09:39.703948+00:00,51.9,-16.7,75,53,85,74,0,60,30,75,502.34999999999997,70,68,85,53,770.0,2025-07-07T11:09:39.703948+00:00
dart-001,dart-supplier-001,Target Darts India,Professional Dartboard with 6 Darts,Dart,899.0,1099.0,470.0,930.0,49.0,35,80,10,,,False,DART-001,active,2025-07-07T11:09:39.703959+00:00,2025-07-07T11:09:39.703959+00:00,47.7,-18.2,70,56,86,94,0,40,30,70,916.05,55,65,86,56,1085.0,2025-07-07T11:09:39.703959+00:00
boxing-001,boxing-supplier-001,Everlast India Sports,Everlast Pro Style Boxing Gloves (12 oz),Boxing,1999.0,2399.0,1050.0,2050.0,48.0,25,60,8,,,False,BOXING-001,active,2025-07-07T11:09:39.703967+00:00,2025-07-07T11:09:39.703967+00:00,47.5,-16.7,75,58,89,80,0,30,40,75,2019.25,60,70,89,58,1275.0,2025-07-07T11:09:39.703967+00:00
